year,month,scope,activity_name,emission_kgco2e,emission_tco2e
2567,12,Scope 2,การใช้พลังงานไฟฟ้า,13311.737120,13.31173712
2567,12,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),442.681200,0.44268120
2567,12,Scope 3,ขยะของเสีย (ฝังกลบ),694.144000,0.69414400
2567,12,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,558.636600,0.55863660
2568,1,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,702.240000,0.70224000
2568,1,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,126.201600,0.12620160
2568,1,Scope 1,น้ำมัน Diesel,210.176614,0.21017661
2568,1,Scope 2,การใช้พลังงานไฟฟ้า,8715.456560,8.71545656
2568,1,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),408.628800,0.40862880
2568,1,Scope 3,ขยะของเสีย (ฝังกลบ),859.792000,0.85979200
2568,1,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,507.999000,0.50799900
2568,2,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,606.480000,0.60648000
2568,2,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,60.144000,0.06014400
2568,2,Scope 1,น้ำมัน Diesel,167.587690,0.16758769
2568,2,Scope 2,การใช้พลังงานไฟฟ้า,12226.754160,12.22675416
2568,2,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),368.901000,0.36890100
2568,2,Scope 3,ขยะของเสีย (ฝังกลบ),779.752000,0.77975200
2568,2,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,242.097500,0.24209750
2568,3,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,670.320000,0.67032000
2568,3,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,74.592000,0.07459200
2568,3,Scope 1,น้ำมัน Diesel,259.644444,0.25964444
2568,3,Scope 2,การใช้พลังงานไฟฟ้า,18673.864480,18.67386448
2568,3,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),516.461400,0.51646140
2568,3,Scope 3,ขยะของเสีย (ฝังกลบ),889.720000,0.88972000
2568,3,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,300.255000,0.30025500
2568,4,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,606.480000,0.60648000
2568,4,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,79.914240,0.07991424
2568,4,Scope 1,น้ำมัน Diesel,241.830544,0.24183054
2568,4,Scope 2,การใช้พลังงานไฟฟ้า,18382.722720,18.38272272
2568,4,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),397.278000,0.39727800
2568,4,Scope 3,ขยะของเสีย (ฝังกลบ),834.736000,0.83473600
2568,4,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,321.678600,0.32167860
2568,5,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,638.400000,0.63840000
2568,5,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,93.717120,0.09371712
2568,5,Scope 1,น้ำมัน Diesel,224.729200,0.22472920
2568,5,Scope 2,การใช้พลังงานไฟฟ้า,20117.575680,20.11757568
2568,5,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),266.743800,0.26674380
2568,5,Scope 3,ขยะของเสีย (ฝังกลบ),954.448000,0.95444800
2568,5,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,377.239300,0.37723930
2568,6,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,638.400000,0.63840000
2568,6,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,89.066880,0.08906688
2568,6,Scope 1,น้ำมัน Diesel,184.442380,0.18444238
2568,6,Scope 2,การใช้พลังงานไฟฟ้า,19151.368960,19.15136896
2568,6,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),385.927200,0.38592720
2568,6,Scope 3,ขยะของเสีย (ฝังกลบ),976.488000,0.97648800
2568,6,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,358.520700,0.35852070
2568,7,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,670.320000,0.67032000
2568,7,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,86.378880,0.08637888
2568,7,Scope 1,น้ำมัน Diesel,64.979626,0.06497963
2568,7,Scope 2,การใช้พลังงานไฟฟ้า,19626.473920,19.62647392
2568,7,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),334.848600,0.33484860
2568,7,Scope 3,ขยะของเสีย (ฝังกลบ),833.808000,0.83380800
2568,7,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,347.700700,0.34770070
2568,8,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,638.400000,0.63840000
2568,8,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,93.609600,0.09360960
2568,8,Scope 1,น้ำมัน Diesel,166.464044,0.16646404
2568,8,Scope 2,การใช้พลังงานไฟฟ้า,19676.064000,19.67606400
2568,8,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),434.168100,0.43416810
2568,8,Scope 3,ขยะของเสีย (ฝังกลบ),848.192000,0.84819200
2568,8,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,376.806500,0.37680650
2568,9,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,702.240000,0.70224000
2568,9,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,98.663040,0.09866304
2568,9,Scope 1,น้ำมัน Diesel,192.828616,0.19282862
2568,9,Scope 2,การใช้พลังงานไฟฟ้า,20819.035360,20.81903536
2568,9,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),417.141900,0.41714190
2568,9,Scope 3,ขยะของเสีย (ฝังกลบ),813.856000,0.81385600
2568,9,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,397.148100,0.39714810
2568,10,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,670.320000,0.67032000
2568,10,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,80.559360,0.08055936
2568,10,Scope 1,น้ำมัน Diesel,88.795440,0.08879544
2568,10,Scope 2,การใช้พลังงานไฟฟ้า,16599.079520,16.59907952
2568,10,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),295.120800,0.29512080
2568,10,Scope 3,ขยะของเสีย (ฝังกลบ),792.976000,0.79297600
2568,10,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,324.275400,0.32427540
2568,11,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,638.400000,0.63840000
2568,11,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,112.976640,0.11297664
2568,11,Scope 1,น้ำมัน Diesel,105.485694,0.10548569
2568,11,Scope 2,การใช้พลังงานไฟฟ้า,15854.428480,15.85442848
2568,11,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),448.356600,0.44835660
2568,11,Scope 3,ขยะของเสีย (ฝังกลบ),811.536000,0.81153600
2568,11,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,454.764600,0.45476460
2568,12,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,638.400000,0.63840000
2568,12,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,124.736640,0.12473664
2568,12,Scope 2,การใช้พลังงานไฟฟ้า,11635.272480,11.63527248
2568,12,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),346.199400,0.34619940
2568,12,Scope 3,ขยะของเสีย (ฝังกลบ),768.616000,0.76861600
2568,12,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,502.102100,0.50210210
